numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,Column1
7747,2.02E+13,101770,90,2,290,6.2,288.15,275.95,44,60000,0,mq,mq,mq,0,mq,mq,mq,mq,101240,mq,mq,90,mq,mq,mq,mq,285.35,mq,mq,14.7,16.1,-10,0,0,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7761,2.02E+13,101310,-150,8,290,4,288.35,281.55,64,19800,0,mq,mq,100,8,3900,mq,mq,mq,101200,mq,mq,-640,mq,mq,mq,mq,286.45,mq,mq,7.2,7.2,-10,mq,0,mq,mq,0,0,0,0,0,mq,mq,mq,mq,8,mq,3900,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7790,2.02E+13,100840,-20,8,270,10.6,291.55,270.05,23,60000,0,mq,mq,90,7,4860,mq,mq,mq,100700,mq,mq,-1080,mq,mq,mq,mq,mq,mq,mq,20.1,21.6,-10,mq,mq,mq,mq,0,0,-0.1,-0.1,-0.1,mq,mq,mq,mq,7,mq,4860,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61968,2.02E+13,100880,180,6,240,0.9,299.15,298.15,94,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100830,mq,mq,-100,mq,298.45,mq,304.35,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,10,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61972,2.02E+13,101310,150,8,mq,mq,298.65,294.15,76,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101240,mq,mq,-40,mq,296.95,mq,301.75,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61976,2.02E+13,101030,130,6,90,6.1,300.85,297.85,84,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100940,mq,mq,360,mq,299.05,mq,302.65,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,1.6,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61980,2.02E+13,101300,-100,8,130,4.9,298.75,294.85,79,60000,0,mq,mq,mq,1,2250,mq,mq,mq,101150,mq,mq,80,mq,mq,mq,mq,mq,mq,mq,6.8,8.9,-10,mq,mq,mq,mq,0,0,0,0.4,0.4,mq,mq,mq,mq,1,mq,2040,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61996,2.02E+13,102310,40,3,270,2.8,290.35,285.25,72,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101960,mq,mq,540,mq,289.35,mq,294.45,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61997,2.02E+13,98580,100,3,270,11.8,278.55,275.35,80,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,96840,mq,mq,-1210,mq,276.95,mq,283.75,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,1,9.2,9.4,17,23.2,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
61998,2.02E+13,100260,130,2,360,5.1,279.45,273.75,67,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,99890,mq,mq,450,mq,mq,mq,mq,mq,mq,mq,mq,7.7,-10,mq,mq,mq,mq,0,mq,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
67005,2.02E+13,100930,-140,6,220,5.2,300.85,298.45,87,8130,0,mq,mq,mq,4,800,mq,mq,mq,100850,mq,mq,-110,mq,mq,mq,mq,mq,mq,mq,6.4,6.4,-10,mq,mq,mq,mq,0,0,0,0,1,mq,mq,mq,mq,4,mq,690,mq,mq,mq,mq,mq,mq,mq,mq,mq,
71805,2.02E+13,101880,260,3,310,1.1,272.85,268.45,72,19320,0,mq,mq,100,8,1750,mq,mq,mq,101790,mq,mq,170,mq,mq,mq,mq,273.65,mq,mq,1.4,2.9,-10,mq,mq,mq,mq,0,0,0,-0.1,-0.1,mq,mq,mq,mq,2,mq,1740,8,mq,5280,mq,mq,mq,mq,mq,mq,
78890,2.02E+13,101800,130,2,50,10.5,298.75,294.65,78,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101480,mq,mq,80,mq,297.65,mq,302.45,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
78894,2.02E+13,101930,150,3,60,8.9,298.25,293.75,76,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101410,mq,mq,80,mq,296.75,mq,302.25,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0.2,0.2,0.2,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
78897,2.02E+13,101850,150,3,90,2.9,298.05,293.35,75,41640,mq,mq,mq,mq,mq,mq,mq,mq,mq,101760,mq,mq,80,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0,0,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
78922,2.02E+13,101800,170,2,90,8.9,298.95,294.15,75,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101350,mq,mq,100,mq,297.45,mq,301.35,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0.6,0.6,0.6,0.6,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
78925,2.02E+13,101770,180,3,90,5.3,298.75,293.05,71,60000,0,mq,mq,mq,0,mq,mq,mq,mq,101680,mq,mq,110,303.05,mq,303.05,mq,mq,mq,mq,7.9,10.3,-10,mq,mq,mq,mq,0,0,-0.1,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
81401,2.02E+13,101290,140,1,40,1.5,296.45,295.75,96,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101230,mq,mq,-10,mq,294.75,mq,306.05,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.2,0.8,0.8,0.8,1,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
81405,2.02E+13,101300,90,3,70,1.6,297.85,296.05,90,22650,0,mq,mq,mq,3,800,mq,mq,mq,101210,mq,mq,-10,303.75,mq,303.75,mq,299.45,mq,mq,2,3.2,-10,mq,mq,mq,mq,0,-0.1,-0.1,-0.1,1.2,mq,mq,mq,mq,2,mq,720,3,mq,1230,mq,mq,mq,mq,mq,mq,
81408,2.02E+13,101260,140,3,0,0,298.15,295.85,87,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101180,mq,mq,-20,mq,295.75,mq,305.15,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,0,0.2,0.6,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
81415,2.02E+13,mq,mq,mq,0,0,297.65,296.95,96,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,296.85,mq,305.85,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0,0,1.8,1.8,2,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
89642,2.02E+13,99960,40,1,130,9.8,270.65,270.25,97,20000,2,1,1,100,7,800,35,61,60,99420,mq,mq,mq,270.45,mq,271.95,mq,mq,mq,mq,mq,16.5,-60,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,7,6,780,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7005,2.02E+13,100010,180,3,270,11.1,282.75,281.95,95,15060,58,mq,mq,mq,mq,mq,mq,mq,mq,99150,mq,mq,290,mq,mq,mq,mq,281.95,mq,mq,17.4,17.9,-10,1,0,mq,mq,0.2,1.4,5.3,7.9,12.5,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7015,2.02E+13,99760,180,3,270,6.7,282.65,281.55,93,31500,0,mq,mq,100,8,450,mq,mq,mq,99200,mq,mq,-60,mq,mq,mq,mq,282.35,mq,mq,11.5,11.6,-10,1,0,mq,mq,-0.1,1.4,4.2,5.6,9,mq,mq,mq,mq,7,mq,390,8,mq,690,mq,mq,mq,mq,mq,mq,
7020,2.02E+13,100510,80,2,270,10.6,283.75,282.05,89,8000,2,2,mq,100,8,450,37,mq,mq,100400,mq,mq,1380,mq,mq,mq,mq,mq,mq,mq,14.9,15.8,-10,mq,mq,mq,mq,0,0,0,0,2.4,mq,mq,mq,mq,8,7,500,mq,mq,mq,mq,mq,mq,mq,mq,mq,
7027,2.02E+13,100570,110,1,270,9.5,283.15,280.55,84,38140,0,mq,mq,90,7,450,mq,mq,mq,99760,mq,mq,870,mq,mq,mq,mq,282.85,mq,mq,14.3,15.7,-10,1,0,mq,mq,0,0,0.2,1.4,2,mq,mq,mq,mq,1,mq,510,3,mq,810,7,mq,1080,mq,mq,mq,
